date;value
01/01/1995;522,8
01/02/1995;220,8
01/03/1995;235,2
01/04/1995;249,6
01/05/1995;552,3
01/06/1995;484,3
01/07/1995;524,7
01/08/1995;609,3
01/09/1995;794,9
01/10/1995;457,8
01/11/1995;621,2
01/12/1995;1.075,2
01/01/1996;791,6
01/02/1996;448,0
01/03/1996;625,6
01/04/1996;641,3
01/05/1996;1.823,2
01/06/1996;1.415,4
01/07/1996;739,0
01/08/1996;580,8
01/09/1996;417,4
01/10/1996;1.089,4
01/11/1996;1.231,4
01/12/1996;2.230,6
01/01/1997;1.266,9
01/02/1997;456,8
01/03/1997;1.706,6
01/04/1997;1.828,5
01/05/1997;2.031,1
01/06/1997;1.353,0
01/07/1997;1.735,2
01/08/1997;1.879,2
01/09/1997;1.685,2
01/10/1997;4.263,3
01/11/1997;1.783,5
01/12/1997;2.091,7
01/01/1998;1.148,1
01/02/1998;1.594,5
01/03/1998;2.564,6
01/04/1998;2.258,0
01/05/1998;1.531,9
01/06/1998;3.135,2
01/07/1998;3.295,3
01/08/1998;5.082,9
01/09/1998;2.970,5
01/10/1998;4.361,4
01/11/1998;2.327,7
01/12/1998;4.711,9
01/01/1999;1.577,9
01/02/1999;5.015,7
01/03/1999;2.441,5
01/04/1999;3.199,3
01/05/1999;1.774,5
01/06/1999;2.704,1
01/07/1999;4.460,0
01/08/1999;3.101,0
01/09/1999;3.089,7
01/10/1999;2.559,0
01/11/1999;2.553,3
01/12/1999;3.813,4
01/01/2000;3.272,0
01/02/2000;2.102,4
01/03/2000;2.797,8
01/04/2000;1.694,9
01/05/2000;2.055,4
01/06/2000;4.234,4
01/07/2000;5.691,1
01/08/2000;4.124,7
01/09/2000;1.903,9
01/10/2000;2.576,4
01/11/2000;6.129,4
01/12/2000;3.645,9
01/01/2001;1.942,6
01/02/2001;1.604,1
01/03/2001;2.988,9
01/04/2001;2.952,4
01/05/2001;2.236,4
01/06/2001;1.772,9
01/07/2001;3.543,4
01/08/2001;1.636,3
01/09/2001;2.304,8
01/10/2001;1.648,1
01/11/2001;2.600,7
01/12/2001;5.551,0
01/01/2002;1.960,5
01/02/2002;1.232,4
01/03/2002;3.039,8
01/04/2002;2.376,3
01/05/2002;1.683,2
01/06/2002;3.174,9
01/07/2002;2.687,9
01/08/2002;1.889,4
01/09/2002;1.937,5
01/10/2002;1.822,9
01/11/2002;1.678,1
01/12/2002;2.975,4
01/01/2003;1.371,0
01/02/2003;1.056,6
01/03/2003;1.261,0
01/04/2003;1.110,2
01/05/2003;1.606,5
01/06/2003;1.396,5
01/07/2003;1.870,1
01/08/2003;1.266,9
01/09/2003;2.020,6
01/10/2003;909,9
01/11/2003;2.553,6
01/12/2003;2.785,4
01/01/2004;1.526,3
01/02/2004;1.486,0
01/03/2004;1.051,5
01/04/2004;1.072,6
01/05/2004;1.067,9
01/06/2004;1.153,3
01/07/2004;2.018,4
01/08/2004;7.369,7
01/09/2004;1.128,9
01/10/2004;1.720,3
01/11/2004;1.808,8
01/12/2004;4.408,6
01/01/2005;1.404,4
01/02/2005;1.554,1
01/03/2005;2.205,2
01/04/2005;3.614,3
01/05/2005;1.209,5
01/06/2005;2.147,3
01/07/2005;4.007,7
01/08/2005;3.606,4
01/09/2005;1.770,4
01/10/2005;1.357,1
01/11/2005;2.165,5
01/12/2005;5.166,7
01/01/2006;2.143,7
01/02/2006;1.851,7
01/03/2006;2.562,2
01/04/2006;1.903,7
01/05/2006;2.510,0
01/06/2006;3.101,4
01/07/2006;2.315,0
01/08/2006;2.750,0
01/09/2006;2.619,5
01/10/2006;2.344,2
01/11/2006;3.655,8
01/12/2006;4.427,3
01/01/2007;9.031,0
01/02/2007;1.810,5
01/03/2007;4.019,5
01/04/2007;3.945,8
01/05/2007;2.180,3
01/06/2007;11.694,0
01/07/2007;5.034,9
01/08/2007;3.675,4
01/09/2007;2.618,7
01/10/2007;4.939,1
01/11/2007;5.094,7
01/12/2007;4.343,5
01/01/2008;6.793,1
01/02/2008;2.730,2
01/03/2008;5.304,7
01/04/2008;6.932,6
01/05/2008;3.812,3
01/06/2008;4.667,7
01/07/2008;6.043,1
01/08/2008;7.227,5
