date;value
01/01/2000;110,34
01/02/2000;109,10
01/03/2000;107,70
01/04/2000;108,93
01/05/2000;112,72
01/06/2000;111,84
01/07/2000;109,68
01/08/2000;108,95
01/09/2000;111,08
01/10/2000;113,56
01/11/2000;117,38
01/12/2000;117,54
01/01/2001;117,09
01/02/2001;119,85
01/03/2001;124,88
01/04/2001;130,83
01/05/2001;137,14
01/06/2001;141,33
01/07/2001;144,37
01/08/2001;145,96
01/09/2001;155,58
01/10/2001;157,73
01/11/2001;145,10
01/12/2001;133,41
01/01/2002;133,88
01/02/2002;136,27
01/03/2002;132,12
01/04/2002;130,33
01/05/2002;139,02
01/06/2002;151,56
01/07/2002;162,14
01/08/2002;171,29
01/09/2002;183,05
01/10/2002;206,11
01/11/2002;188,00
01/12/2002;186,27
01/01/2003;173,51
01/02/2003;179,77
01/03/2003;171,50
01/04/2003;153,34
01/05/2003;144,22
01/06/2003;141,04
01/07/2003;140,75
01/08/2003;146,80
01/09/2003;142,26
01/10/2003;138,72
01/11/2003;140,40
01/12/2003;140,07
01/01/2004;136,19
01/02/2004;139,84
01/03/2004;138,89
01/04/2004;138,85
01/05/2004;148,25
01/06/2004;149,04
01/07/2004;143,11
01/08/2004;140,62
01/09/2004;135,23
01/10/2004;133,55
01/11/2004;129,60
01/12/2004;124,90
01/01/2005;123,29
01/02/2005;118,92
01/03/2005;124,02
01/04/2005;118,03
01/05/2005;111,59
01/06/2005;109,88
01/07/2005;108,29
01/08/2005;108,07
01/09/2005;105,95
01/10/2005;103,63
01/11/2005;100,17
01/12/2005;102,76
01/01/2006;102,41
01/02/2006;97,17
01/03/2006;96,84
01/04/2006;96,43
01/05/2006;99,03
01/06/2006;102,64
01/07/2006;100,05
01/08/2006;98,67
01/09/2006;98,57
01/10/2006;96,79
01/11/2006;96,78
01/12/2006;96,10
01/01/2007;95,46
01/02/2007;93,66
01/03/2007;93,83
01/04/2007;91,65
01/05/2007;89,67
01/06/2007;87,34
01/07/2007;84,90
01/08/2007;88,08
01/09/2007;85,18
01/10/2007;80,69
01/11/2007;79,47
01/12/2007;79,55
01/01/2008;78,99
01/02/2008;76,77
01/03/2008;76,16
01/04/2008;75,37
01/05/2008;74,14
01/06/2008;72,47
01/07/2008;71,24
01/08/2008;71,69
01/09/2008;79,70
01/10/2008;94,83
01/11/2008;96,67
01/12/2008;100,79
01/01/2009;97,09
01/02/2009;97,26
01/03/2009;97,35
01/04/2009;92,59
01/05/2009;86,35
01/06/2009;82,43
01/07/2009;81,06
01/08/2009;77,45
01/09/2009;76,25
01/10/2009;72,70
01/11/2009;71,95
01/12/2009;72,56
01/01/2010;73,48
01/02/2010;75,46
01/03/2010;73,10
01/04/2010;71,62
01/05/2010;73,66
01/06/2010;73,32
01/07/2010;71,83
01/08/2010;71,49
01/09/2010;69,56
01/10/2010;67,71
01/11/2010;68,37
01/12/2010;67,27
01/01/2011;66,30
01/02/2011;65,83
01/03/2011;65,60
01/04/2011;62,65
01/05/2011;63,72
01/06/2011;62,51
01/07/2011;61,56
01/08/2011;62,80
01/09/2011;68,38
01/10/2011;68,99
01/11/2011;69,16
01/12/2011;70,55
01/01/2012;68,65
01/02/2012;65,85
01/03/2012;69,24
01/04/2012;71,17
01/05/2012;75,78
01/06/2012;78,16
01/07/2012;76,97
01/08/2012;77,11
01/09/2012;76,99
01/10/2012;76,56
01/11/2012;77,08
01/12/2012;76,71
01/01/2013;74,58
01/02/2013;72,56
01/03/2013;72,85
01/04/2013;73,03
01/05/2013;74,12
01/06/2013;79,09
01/07/2013;81,99
01/08/2013;85,16
01/09/2013;82,36
01/10/2013;78,74
01/11/2013;82,02
01/12/2013;83,00
01/01/2014;84,08
01/02/2014;83,92
01/03/2014;81,69
01/04/2014;78,18
01/05/2014;77,65
01/06/2014;78,00
01/07/2014;77,55
01/08/2014;78,74
01/09/2014;80,59
01/10/2014;84,01
01/11/2014;86,53
01/12/2014;88,49
01/01/2015;86,79
01/02/2015;92,12
01/03/2015;101,87
01/04/2015;98,41
01/05/2015;98,51
01/06/2015;99,80
01/07/2015;102,73
01/08/2015;111,61
01/09/2015;123,05
01/10/2015;121,12
01/11/2015;116,78
01/12/2015;118,15
01/01/2016;122,00
01/02/2016;118,66
01/03/2016;110,79
01/04/2016;106,51
01/05/2016;105,40
01/06/2016;101,90
01/07/2016;96,81
01/08/2016;94,53
01/09/2016;96,05
01/10/2016;93,89
01/11/2016;98,08
01/12/2016;98,17
01/01/2017;93,80
01/02/2017;91,06
01/03/2017;91,61
01/04/2017;92,00
01/05/2017;93,92
01/06/2017;96,75
01/07/2017;93,85
01/08/2017;92,34
01/09/2017;92,17
01/10/2017;93,37
01/11/2017;95,19
01/12/2017;95,65
01/01/2018;93,61
01/02/2018;94,63
01/03/2018;95,80
01/04/2018;99,67
01/05/2018;106,30
01/06/2018;109,18
01/07/2018;110,53
01/08/2018;113,51
01/09/2018;118,52
01/10/2018;108,21
01/11/2018;108,44
01/12/2018;110,85
01/01/2019;106,78
01/02/2019;106,09
01/03/2019;109,22
01/04/2019;110,81
01/05/2019;113,78
01/06/2019;109,82
01/07/2019;107,51
01/08/2019;114,23
01/09/2019;117,25
01/10/2019;116,42
01/11/2019;117,74
01/12/2019;114,94
01/01/2020;116,16
01/02/2020;121,84
01/03/2020;136,52
01/04/2020;147,97
01/05/2020;157,50
01/06/2020;145,32
01/07/2020;148,27
01/08/2020;153,47
01/09/2020;150,84
01/10/2020;155,93
01/11/2020;149,31
01/12/2020;139,66
01/01/2021;145,38
01/02/2021;146,68
01/03/2021;152,66
01/04/2021;151,26
01/05/2021;143,75
01/06/2021;137,35
01/07/2021;139,98
01/08/2021;141,63
01/09/2021;141,01
01/10/2021;147,44
01/11/2021;147,22
01/12/2021;149,13
01/01/2022;146,47
01/02/2022;137,33
01/03/2022;131,20
01/04/2022;124,63
01/05/2022;130,82
01/06/2022;134,32
01/07/2022;143,68
01/08/2022;138,11
01/09/2022;141,32
01/10/2022;141,38
01/11/2022;141,25
01/12/2022;139,21
01/01/2023;138,47
01/02/2023;137,40
01/03/2023;137,85
01/04/2023;132,75
01/05/2023;131,72
01/06/2023;128,82
01/07/2023;127,49
01/08/2023;130,49
01/09/2023;131,41
01/10/2023;134,37
01/11/2023;129,45
01/12/2023;128,42
01/01/2024;129,00
Fonte;BCB-DSTAT
