date;value
01/01/2000;46,56
01/02/2000;47,09
01/03/2000;49,1
01/04/2000;49,1
01/05/2000;51,11
01/06/2000;48,66
01/07/2000;50,41
01/08/2000;50,24
01/09/2000;49,01
01/10/2000;49,98
01/11/2000;50,85
01/12/2000;70,11
01/01/2001;47,44
01/02/2001;44,72
01/03/2001;50,33
01/04/2001;48,14
01/05/2001;49,98
01/06/2001;48,05
01/07/2001;48,31
01/08/2001;49,63
01/09/2001;47,61
01/10/2001;50,59
01/11/2001;49,63
01/12/2001;68,18
01/01/2002;46,91
01/02/2002;44,02
01/03/2002;50,5
01/04/2002;47,18
01/05/2002;50,59
01/06/2002;47,18
01/07/2002;49,19
01/08/2002;50,76
01/09/2002;46,91
01/10/2002;50,85
01/11/2002;49,63
01/12/2002;64,68
01/01/2003;44,81
01/02/2003;43,32
01/03/2003;44,72
01/04/2003;45,42
01/05/2003;47,44
01/06/2003;44,46
01/07/2003;47
01/08/2003;47,88
01/09/2003;45,6
01/10/2003;49,36
01/11/2003;49,54
01/12/2003;66,78
01/01/2004;47,53
01/02/2004;45,51
01/03/2004;49,63
01/04/2004;50,06
01/05/2004;52,51
01/06/2004;50,24
01/07/2004;52,69
01/08/2004;51,11
01/09/2004;49,8
01/10/2004;53,48
01/11/2004;52,6
01/12/2004;74,4
01/01/2005;50,5
01/02/2005;46,48
01/03/2005;53,48
01/04/2005;51,73
01/05/2005;53,91
01/06/2005;52,86
01/07/2005;55,05
01/08/2005;54,61
01/09/2005;52,51
01/10/2005;55,49
01/11/2005;55,23
01/12/2005;78,07
01/01/2006;53,83
01/02/2006;49,36
01/03/2006;55,05
01/04/2006;55,58
01/05/2006;57,94
01/06/2006;54,96
01/07/2006;56,28
01/08/2006;58,12
01/09/2006;57,77
01/10/2006;59,34
01/11/2006;60,22
01/12/2006;82,53
01/01/2007;58,38
01/02/2007;53,83
01/03/2007;61,44
01/04/2007;59,87
01/05/2007;64,07
01/06/2007;61,27
01/07/2007;61,53
01/08/2007;64,07
01/09/2007;62,49
01/10/2007;65,03
01/11/2007;66,43
01/12/2007;90,32
01/01/2008;65,21
01/02/2008;60,74
01/03/2008;68,27
01/04/2008;65,03
01/05/2008;71,16
01/06/2008;66,26
01/07/2008;68,44
01/08/2008;70,37
01/09/2008;68,36
01/10/2008;71,51
01/11/2008;69,84
01/12/2008;93,74
01/01/2009;69,14
01/02/2009;63,02
01/03/2009;69,14
01/04/2009;69,67
01/05/2009;73,17
01/06/2009;70,02
01/07/2009;72,56
01/08/2009;73,69
01/09/2009;71,86
01/10/2009;77,63
01/11/2009;75,8
01/12/2009;102,4
01/01/2010;76,32
01/02/2010;70,72
01/03/2010;80
01/04/2010;76,06
01/05/2010;80,7
01/06/2010;77,98
01/07/2010;80,61
01/08/2010;81,48
01/09/2010;80,43
01/10/2010;84,37
01/11/2010;83,32
01/12/2010;112,91
01/01/2011;82,62
01/02/2011;76,76
01/03/2011;83,15
01/04/2011;83,85
01/05/2011;85,77
01/06/2011;83,5
01/07/2011;86,3
01/08/2011;86,65
01/09/2011;84,55
01/10/2011;87,96
01/11/2011;88,92
01/12/2011;120,43
01/01/2012;89,01
01/02/2012;84,9
